Track name,Artist name,Album,Playlist name,Type,ISRC,Apple - id
"kawAIi (feat. Srezcat)","Kobaryo","kawAIi (feat. Srezcat) - Single","Favorite Songs","Playlist","TCJPU2369958","1669086251"
"NOX LUX(English Version)","MYTH & ROID","NOX LUX(English Version) - Single","Favorite Songs","Playlist","JPD732401872","1780266204"
"怪獣","Kry.exe & Nmy","怪獣 - Single","Favorite Songs","Playlist","QZPJ32423456","1780008781"
"4AM","Isolate.exe","4AM - Single","Favorite Songs","Playlist","USANG2474757","1774812120"
"砂のこども (feat. 水瀬ましろ)","Halozy","犬猫的電子座曲","Favorite Songs","Playlist","JPW562108475","1711532211"
"I Can't Go Away","Kirara Magic","I Can't Go Away - Single","Favorite Songs","Playlist","QZDA61915816","1452899674"
"君が居なくなった日","sasakure.UK","摩訶摩謌モノモノシー","Favorite Songs","Playlist","JPJ931400190","1588861889"
"ALONE to ALONE (feat. lasah)","sasakure.UK","ゼツメツコモンセンス","Favorite Songs","Playlist","TCJPG1869101","1356470847"
"流星群に会えた夏","黒魔 (Chroma)","流星群に会えた夏 / ごろごろ - Single","Favorite Songs","Playlist","JPS801943550","1525688484"
"Paradox Heart","Srezcat & DJ NECOJITA","BLITZTAIL QOMPLEX","Favorite Songs","Playlist","JPP561101176","1656492753"
"酸欠少女","さユり","酸欠少女","Favorite Songs","Playlist","JPU902202250","1637394796"
"Lumina (feat. Xomu)","Wisp X","Loner","Favorite Songs","Playlist","QZHN71929113","1483501641"
"ライトダンス","サカナクション","シンシロ","Favorite Songs","Playlist","JPVI00839620","301383413"
"Gate One","aran","Gate One - Single","Favorite Songs","Playlist","JPP561101121","1656485182"
"雨だれの歌","チト(CV:水瀬いのり)、ユーリ(CV:久保ユリカ)","TVアニメ「少女終末旅行」エンディングテーマ「More One Night」 - EP","Favorite Songs","Playlist","JPD731700559","1305695855"
"Endless Journey","チト(CV:水瀬いのり)、ユーリ(CV:久保ユリカ)","TVアニメ「少女終末旅行」オープニングテーマ「動く、動く」 - EP","Favorite Songs","Playlist","JPD731700555","1305659453"
"動く、動く","チト(CV:水瀬いのり)、ユーリ(CV:久保ユリカ)","TVアニメ「少女終末旅行」オープニングテーマ「動く、動く」 - EP","Favorite Songs","Playlist","JPD731700554","1305659452"
"More One Night","チト(CV:水瀬いのり)、ユーリ(CV:久保ユリカ)","TVアニメ「少女終末旅行」エンディングテーマ「More One Night」 - EP","Favorite Songs","Playlist","JPD731700558","1305695852"
"愛を喜ぶ街","黒魔 (Chroma)","愛を喜ぶ街","Favorite Songs","Playlist","JPS801912243","1459336920"
"Blackmagik Blazing","かめりあ","Blackmagik Blazing","Favorite Songs","Playlist","TCJPJ1943270","1476530809"
"Help me, ERINNNNNN!!","COOL&CREATE","Help me, ERINNNNNN!! (～たすけてえーりん!!～) - Single","Favorite Songs","Playlist","JPW562109930","1744260876"
"明日ハレの日ケの昨日","交響アクティブNEETs","東方フィルハーモニー交響楽団6 風 第一幕","Favorite Songs","Playlist","JPW562104260","1598048379"
"Halcyon","Xi","Parousia","Favorite Songs","Playlist","USCGH1891040","1350310321"
"Collapse (feat. 藍月なくる)","Laur","Collapse","Favorite Songs","Playlist","TCJPQ2122112","1592941707"
"IZANA","t+pazolite & P*Light","IZANA - Single","Favorite Songs","Playlist","TCJPK2031875","1495288634"
"AttraqtiA","かめりあ","Arcaea Sound Collection: Memories of Myth","Favorite Songs","Playlist","TCAHI2357332","1713386458"
"Invisible Frenzy","Kobaryo","Invisible Frenzy - Single","Favorite Songs","Playlist","TCJPK1911118","1490720747"
"Endless Adventure","Kobaryo","Super Dream Zone","Favorite Songs","Playlist","JPP561101138","1546093856"
"Ms.Rave & Mr.Bounce","C-Show & DJ Noriken","HYPER DUO","Favorite Songs","Playlist","TCJPK2026934","1494109408"
"最強STRONGER","REDALiCE & USAO","最強STRONGER - Single","Favorite Songs","Playlist","TCJPK2031879","1495291796"
"Raving Hype","Getty","HARDCORE SYNDROME 12","Favorite Songs","Playlist","JPP561100992","1656485956"
"Cthugha","USAO","Cthugha - Single","Favorite Songs","Playlist","TCJPN2176308","1551353619"
"ARCADIA","Gram","The Requiem","Favorite Songs","Playlist","TCJPH1810267","1388825417"
"777","RoughSketch","OPEN WORLD - EP","Favorite Songs","Playlist","JPI962000078","1528918402"
"ベースラインやってる?笑","ななひら & かめりあ","ふぉーす!","Favorite Songs","Playlist","TCJPN2182125","1552865101"
"Good bye, Merry-Go-Round. (Long Ver.)","Yooh","HYPER FULL THROTTLE","Favorite Songs","Playlist","TCJPT2246845","1652054110"
"Exitium","Laur","Collapse","Favorite Songs","Playlist","TCJPQ2122169","1592941900"
"大地の閾を探して -Looking for Edge of Ground-","かめりあ","U.U.F.O.","Favorite Songs","Playlist","TCJPO2190912","1572224629"
"銀の龍の背に乗って","中島みゆき","映画「Dr.コトー診療所」オリジナルサウンドトラック","Favorite Songs","Playlist","JPI800300018","1656570352"
"Ringed Genesis","Edelritter","Arcaea Sound Collection (Memories of Realms)","Favorite Songs","Playlist","TCAFM2172902","1566300521"
"PRAGMATISM","Laur","Arcaea Sound Collection: Memories of Light","Favorite Songs","Playlist","TCAER2055561","1524421597"
"Vicious Heroism","Kobaryo","Arcaea Sound Collection: Memories of Conflict","Favorite Songs","Playlist","TCAER2055617","1524422679"
"ハルトマンの妖怪少女","上海アリス幻樂団","東方地霊殿 〜 Subterranean Animism. サウンドトラック","Favorite Songs","Playlist","JPW562102117","1581358342"
"*ハロー、プラネット。","sasakure.UK","ボーカロイドは終末鳥の夢を見るか?","Favorite Songs","Playlist","TCJPQ2287598","1607607901"
"Re:End of a Dream (Game size)","uma vs. モリモリあつし","FIRST:DREAMER","Favorite Songs","Playlist","TCJPM2020260","1526340415"
"SUPER MEMORIES (feat. HiTNEX-X)","Kobaryo","TEMPOCOP","Favorite Songs","Playlist","JPP561100814","1656435337"
"Bad Apple!! feat.nomico(Nhato Remix)","Alstroemeria Records","10th ANNIVERSARY Bad Apple!! feat.nomico","Favorite Songs","Playlist","JPW561805142","1437758304"
